,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
79,0,1.14657254880992,0.861,0.161,0,3,Ccnb1
80,3.44968847624795e-209,1.2190222645548,0.646,0.27,6.41366081504019e-205,3,Top2a
81,0,1.63183537700352,0.879,0.426,0,4,Dlk1
82,1.73017747370804e-268,1.28816210708315,0.997,0.877,3.21674595911799e-264,4,Postn
83,7.70240746611462e-265,0.997712763462828,0.93,0.552,1.43203159610003e-260,4,Emb
84,4.07953197999908e-258,1.20699272585169,0.994,0.743,7.58466585721429e-254,4,Sfrp1
85,1.55980001839184e-231,0.80027196077606,0.902,0.488,2.8999801941941e-227,4,Cyp1b1
86,2.21557988380894e-168,0.917459219238956,0.703,0.339,4.11920611997759e-164,4,Plac8
87,8.39553432266565e-165,0.780331064266256,0.983,0.761,1.56089774127e-160,4,Mfap5
88,6.42940753768644e-161,0.779667064803916,0.974,0.829,1.19535544940666e-156,4,Gas1
89,1.3465429509158e-148,1.02507301476637,0.855,0.557,2.50349265434266e-144,4,C1qtnf3
90,8.53577338911666e-146,0.707415094186757,0.996,0.94,1.58697098850457e-141,4,Meg3
91,9.07178605559223e-143,0.947323438757182,0.887,0.626,1.68662646345571e-138,4,Egfl6
92,9.63923122173227e-136,0.78624955440877,0.842,0.553,1.79212586874446e-131,4,Fst
93,6.16038874715244e-128,0.862211559096262,0.89,0.719,1.14533947587058e-123,4,Gas6
94,6.25401193211063e-118,0.805734120575784,0.934,0.807,1.16274589841801e-113,4,Plpp3
95,3.77459369659764e-112,1.08858135364778,0.986,0.956,7.01772460071434e-108,4,Ptn
96,1.31594402086775e-101,0.813832984332441,0.399,0.157,2.44660312359732e-97,4,Eln
97,7.09006010209526e-87,1.00163674051889,0.865,0.712,1.31818397418155e-82,4,Timp3
98,3.45358989452691e-85,0.719236823543298,0.939,0.788,6.42091433190443e-81,4,Ly6a
99,1.92527673697424e-46,0.775680195616855,0.354,0.191,3.57947450938251e-42,4,Xist
100,1.904876552626e-39,0.751770177020086,0.701,0.58,3.54154648664226e-35,4,Mest
101,0,1.91596688070692,1,0.987,0,5,Fabp5
102,0,1.77934209995215,0.996,0.868,0,5,Itm2a
103,0,1.60271954845269,0.999,0.983,0,5,Mgp
104,0,1.41094309579856,0.982,0.685,0,5,Fmod
105,0,1.3002189310886,0.998,0.913,0,5,Col11a1
106,0,1.23672355936215,1,0.95,0,5,Thbs2
107,0,1.2076420902394,0.943,0.62,0,5,Alcam
108,2.21890206724404e-289,1.06339916035854,0.634,0.183,4.12538272342012e-285,5,Matn4
109,6.78898005517503e-265,1.21627433583319,0.957,0.647,1.26220717185814e-260,5,Ccnd1
110,2.85320710092015e-241,1.00923600302878,0.943,0.586,5.30468264203075e-237,5,Gja1
111,5.75414790800839e-240,0.980892441948809,0.552,0.16,1.06981117905692e-235,5,Clu
112,1.37919988112023e-238,1.17577542126679,0.876,0.542,2.56420841897874e-234,5,Nrp2
113,1.02205184221793e-181,1.05862318721395,0.941,0.735,1.90019878505157e-177,5,Cxcl12
114,1.11886276954006e-178,1.07407166912887,0.974,0.826,2.08018966112888e-174,5,Cdkn1c
115,1.42834158695632e-162,0.95433866163969,0.852,0.532,2.65557267846919e-158,5,Abi3bp
116,5.23618939275734e-157,0.959222075596522,0.991,0.87,9.73512331901444e-153,5,Igfbp4
117,3.27996024090657e-146,1.25160866419127,0.896,0.646,6.09810207989349e-142,5,Igfbp2
118,6.65877646307663e-105,1.27238019234368,0.36,0.127,1.23799972001521e-100,5,Col2a1
119,1.82607748883116e-96,1.11921763223986,0.345,0.122,3.39504326723489e-92,5,Mmp13
120,3.43594383520143e-32,0.946277294138761,0.392,0.246,6.38810677840651e-28,5,Igfbp5
121,0,2.56018827971092,0.55,0.109,0,6,Mmp13
122,0,1.38744532765249,0.999,0.922,0,6,Lum
123,0,1.31068881508782,0.987,0.63,0,6,Ptprd
124,6.55640510877297e-282,1.20718129852454,0.998,0.951,1.21896683782307e-277,6,Thbs2
125,5.55758275121276e-256,0.756982084034886,1,0.995,1.03326578510548e-251,6,Col1a1
126,4.29681997179758e-244,0.679827008122848,1,0.995,7.98864769156606e-240,6,Col1a2
127,3.9645567034391e-224,1.1951205698346,0.934,0.651,7.37090382303398e-220,6,Ccnd1
128,7.51612206862531e-223,1.10971857244264,0.901,0.543,1.39739741499882e-218,6,Nrp2
129,7.51613499280755e-221,0.85722905961219,0.961,0.699,1.39739981786278e-216,6,Sulf2
130,3.02247203290642e-215,1.11300280965003,0.979,0.889,5.61938000357961e-211,6,Ccnd2
131,7.65676978520501e-213,0.857054976848143,0.976,0.849,1.42354663846531e-208,6,Itgb5
132,1.86543468741228e-199,0.797570765447306,0.914,0.624,3.46821617083692e-195,6,Megf6
133,4.15201828563046e-168,1.33106327523561,0.978,0.909,7.71943239664416e-164,6,Crabp1
134,2.72514698125071e-165,0.865922876694081,1,0.978,5.06659326754132e-161,6,Ctsd
135,1.60568547047e-155,0.691668703888306,0.991,0.935,2.98529042669782e-151,6,Mmp2
136,1.83048623275166e-129,0.75045297385942,0.864,0.628,3.40324000393189e-125,6,Alcam
137,2.57179006805985e-115,0.690968338198981,0.976,0.87,4.78147209453688e-111,6,Itm2a
138,2.87322272028182e-74,0.99971038823245,0.483,0.241,5.34189568154795e-70,6,Igfbp5
