,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
326,2.32032809451619e-08,2.21246551029515,0.857,0.961,0.00043139539933245,16,Son
327,2.31249676902946e-06,2.83761274592201,0.81,0.945,0.0429939399297958,16,Meg3
328,7.51945454025999e-06,2.66238940403568,0.619,0.356,0.139801698812514,16,AC149090.1
329,2.05495284608526e-05,2.63678775278474,0.667,0.495,0.382056833144171,16,Mdm4
330,2.1216920232426e-05,2.33422236262858,0.762,0.864,0.394464980961263,16,Kcnq1ot1
331,2.64399107609415e-05,3.13241366556487,0.667,0.501,0.491570820867424,16,AY036118
332,2.9543862092809e-05,2.47838145118264,0.714,0.685,0.549279484029504,16,Ogt
333,5.79192207105226e-05,7.54228344023051,0.714,0.721,1,16,Gm26917
334,5.79575020856721e-05,2.14593696266089,0.762,0.942,1,16,Luc7l2
335,0.000539240935896693,2.07522701689157,0.571,0.42,1,16,Leng8
336,0.000540005979584755,2.05672818948817,0.667,0.706,1,16,Ttc14
337,0.000682483656059679,2.32671389763482,0.429,0.213,1,16,Gm26699
338,0.000849608698239923,2.66455505013847,0.619,0.564,1,16,Gm26523
339,0.00123157203132036,2.01432118068027,0.667,0.783,1,16,Rsrp1
340,0.00710950318797815,2.61518001508245,0.619,0.737,1,16,Nfat5
